FSTANF,FSWAGES,RAWNET,WRK_POOR,REALPROP,FSSLTDED,FSASSET,FSEARN,FSSSI,HWGT,FSNONCIT,TPOV,FSERNDED,FSUNEARN,FSGA,TANF_IND,FSTOTDED,FSGRINC,FSNELDER,FSUSIZE,LIQRESOR,FSNETINC,FSSLTDE2,RAWERND,FSTOTDE2,FSSTDDE2,FSDIS,SHELDED,CERTHHSZ,FSERNDE2,CAT_ELIG,FSVEHAST,VEHICLEA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,5.0,0.0,40.0,0.0,0.0,134.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,1013.0,734.0,1.0,0.0,173.0,0.0,1013.0,0.0,945.5684625756128,0.0,113.0,202.0,231.0,231.0,0.0,509.0,1244.0,1.0,2.0,0.0,735.0,173.0,203.0,509.0,201.0,0.0,173.0,2.0,303.0,0.0,0.0,1.0
0.0,0.0,5.0,0.0,0.0,413.0,0.0,0.0,603.0,730.1300923602863,0.0,74.0,0.0,603.0,0.0,0.0,547.0,603.0,0.0,1.0,0.0,56.0,413.0,0.0,547.0,201.0,1.0,463.0,1.0,0.0,1.0,0.0,1.0
0.0,0.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,869.2314375616088,0.0,108.0,0.0,881.0,0.0,0.0,134.0,881.0,0.0,1.0,0.0,747.0,0.0,0.0,134.0,134.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,536.0,0.0,0.0,198.0,0.0,0.0,0.0,869.2314375616089,0.0,113.0,0.0,923.0,0.0,0.0,386.0,923.0,1.0,1.0,0.0,537.0,198.0,0.0,386.0,201.0,0.0,198.0,1.0,0.0,0.0,0.0,1.0
231.0,0.0,677.0,0.0,0.0,129.0,0.0,0.0,156.0,926.0073359137072,0.0,85.0,0.0,940.0,0.0,1.0,263.0,940.0,0.0,2.0,0.0,677.0,129.0,0.0,263.0,201.0,1.0,129.0,2.0,0.0,1.0,0.0,1.0
0.0,0.0,370.0,0.0,0.0,119.0,0.0,0.0,247.0,826.0282440535424,0.0,57.0,0.0,623.0,0.0,0.0,253.0,623.0,1.0,2.0,0.0,370.0,119.0,0.0,253.0,201.0,0.0,119.0,2.0,0.0,0.0,0.0,1.0
0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,743.1708434696594,0.0,28.0,0.0,231.0,231.0,0.0,134.0,231.0,0.0,1.0,0.0,97.0,0.0,0.0,134.0,134.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.0,1625.0,1166.0,1.0,0.0,0.0,210.0,1625.0,0.0,1084.9357846450434,0.0,117.0,325.0,0.0,0.0,0.0,459.0,1625.0,0.0,3.0,210.0,1166.0,0.0,325.0,459.0,134.0,0.0,0.0,3.0,325.0,0.0,0.0,1.0
0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,743.1708434696594,0.0,28.0,0.0,231.0,231.0,0.0,134.0,231.0,0.0,1.0,0.0,97.0,0.0,0.0,134.0,134.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
